"sa2_id","sa2_name_en","sa2_name_mi","electorate_id","electorate_name","electorate_name_ascii","intersection_area_m2","sa2_area_m2","proportion_of_sa2"
"114300","Gulf Islands","Gulf Islands","001","Auckland Central","Auckland Central",42597351.4630015,66113379.3056355,0.644307580559122
"129700","Herne Bay","Herne Bay","001","Auckland Central","Auckland Central",877527.111141857,877527.111141685,1.0000000000002
"129800","Westmere North","Westmere North","001","Auckland Central","Auckland Central",645081.949035053,645081.949035677,0.999999999999034
"129901","Point Chevalier North","Point Chevalier North","001","Auckland Central","Auckland Central",0.000716805261376086,722830.865523137,9.91663880951334e-10
"129902","Point Chevalier East","Point Chevalier East","001","Auckland Central","Auckland Central",0.101810466022585,975603.762641242,1.04356368764871e-07
"130300","Westmere South-Western Springs","Westmere South-Western Springs","001","Auckland Central","Auckland Central",1974093.37734804,2023938.87125357,0.975372035878408
"131200","Ponsonby East","Ponsonby East","001","Auckland Central","Auckland Central",703093.339845634,703093.339845587,1.00000000000007
"131801","Freemans Bay","Freemans Bay","001","Auckland Central","Auckland Central",916485.083554227,916485.083554166,1.00000000000007
"131802","College Hill","College Hill","001","Auckland Central","Auckland Central",98856.0196389301,98856.0196387778,1.00000000000154
"134100","Queen Street South West","Queen Street South West","001","Auckland Central","Auckland Central",228782.830820752,228782.830820693,1.00000000000026
"134301","Karangahape West","Karangahape West","001","Auckland Central","Auckland Central",169185.490688828,169185.505531455,0.999999912270102
"137400","Parnell East","Parnell East","001","Auckland Central","Auckland Central",0.0378300628982112,1226793.55749305,3.08365353462704e-08
"139201","Orakei West","Orakei West","001","Auckland Central","Auckland Central",2.95586694530614e-09,1454018.71696431,2.03289470129888e-15
"146900","Oneroa East-Palm Beach","Oneroa East-Palm Beach","001","Auckland Central","Auckland Central",3672605.59265162,3672605.59265162,0.999999999999999
"144600","Oneroa West","Oneroa West","001","Auckland Central","Auckland Central",8420264.19512555,8420264.19512535,1.00000000000002
"151100","Onetangi","Onetangi","001","Auckland Central","Auckland Central",5961507.79611502,5961507.79611265,1.0000000000004
"119301","Inlet Waitemata Harbour","Inlet Waitemata Harbour","001","Auckland Central","Auckland Central",7669911.32988241,79264044.3786701,0.0967640673650307
"110600","Oceanic Auckland Region East","Oceanic Auckland Region East","001","Auckland Central","Auckland Central",5288087186.22967,7823314944.70714,0.675939448124522
"111801","Barrier Islands","Barrier Islands","001","Auckland Central","Auckland Central",321170324.029699,321170324.029701,0.999999999999993
"112001","Inlets other Auckland","Inlets other Auckland","001","Auckland Central","Auckland Central",39084529.1696482,122493635.241782,0.319073959169404
"135700","The Strand","The Strand","001","Auckland Central","Auckland Central",170037.649100105,170037.712398037,0.999999627741802
"136001","Eden Terrace","Eden Terrace","001","Auckland Central","Auckland Central",0.0735916881449097,590846.345549525,1.24553005530507e-07
"135900","Symonds Street East","Symonds Street East","001","Auckland Central","Auckland Central",103429.327873913,103429.374799882,0.999999546299401
"130200","Saint Marys Bay","Saint Marys Bay","001","Auckland Central","Auckland Central",1505845.29307598,1505845.29307565,1.00000000000022
"132100","Grey Lynn West","Grey Lynn West","001","Auckland Central","Auckland Central",434352.534576074,800894.248842508,0.542334440787684
"130400","Ponsonby West","Ponsonby West","001","Auckland Central","Auckland Central",647629.409422211,647629.409422051,1.00000000000025
"131300","Wynyard-Viaduct","Wynyard-Viaduct","001","Auckland Central","Auckland Central",717184.991527724,717184.991527569,1.00000000000022
"131600","Grey Lynn North","Grey Lynn North","001","Auckland Central","Auckland Central",725058.362919051,725058.375911403,0.999999982080957
"132400","Victoria Park","Victoria Park","001","Auckland Central","Auckland Central",448017.108969006,448017.10896895,1.00000000000013
"134500","Anzac Avenue","Anzac Avenue","001","Auckland Central","Auckland Central",102385.524517859,102385.524517769,1.00000000000088
"132700","Hobson Ridge North","Hobson Ridge North","001","Auckland Central","Auckland Central",149226.788587207,149226.78858726,0.999999999999645
"132800","Grey Lynn Central","Grey Lynn Central","001","Auckland Central","Auckland Central",638621.247732021,711925.490536274,0.897033827586318
"135100","Symonds Street North West","Symonds Street North West","001","Auckland Central","Auckland Central",87057.4336396668,87057.4336396135,1.00000000000061
"133200","Queen Street","Queen Street","001","Auckland Central","Auckland Central",168450.19713627,168450.197136296,0.999999999999844
"133301","Quay Street-Customs Street","Quay Street-Customs Street","001","Auckland Central","Auckland Central",1217131.81496108,1217131.85067633,0.999999970656217
"133400","Hobson Ridge Central","Hobson Ridge Central","001","Auckland Central","Auckland Central",63319.4891093024,63319.4891092844,1.00000000000028
"133500","Grey Lynn East","Grey Lynn East","001","Auckland Central","Auckland Central",254358.640660579,579809.302076031,0.438693618315258
"133700","Shortland Street","Shortland Street","001","Auckland Central","Auckland Central",127455.410764677,127455.410764579,1.00000000000077
"133800","Hobson Ridge South","Hobson Ridge South","001","Auckland Central","Auckland Central",156516.308205966,156516.308205796,1.00000000000109
"135300","Symonds Street West","Symonds Street West","001","Auckland Central","Auckland Central",145506.555671272,145506.560833574,0.999999964521858
"134302","Karangahape East","Karangahape East","001","Auckland Central","Auckland Central",116456.006499724,116456.015511165,0.999999922619356
"134800","Auckland-University","Auckland-University","001","Auckland Central","Auckland Central",369412.988288356,369413.003765914,0.999999958102292
"136100","Grafton","Grafton","001","Auckland Central","Auckland Central",15484.5569738729,622686.853974624,0.0248673259681565
"136400","Parnell West","Parnell West","001","Auckland Central","Auckland Central",0.10139908152876,1649247.08688621,6.14820437368194e-08
"147300","Bays Waiheke Island","Bays Waiheke Island","001","Auckland Central","Auckland Central",35907988.1879763,35907988.1879718,1.00000000000013
"147600","Surfdale","Surfdale","001","Auckland Central","Auckland Central",2613137.90507817,2613137.90507829,0.999999999999951
"148700","Ostend","Ostend","001","Auckland Central","Auckland Central",3913602.2210406,3913602.22104012,1.00000000000012
"151700","Waiheke East","Waiheke East","001","Auckland Central","Auckland Central",87585440.5175253,87585440.5175255,0.999999999999998
"258500","Oceanic Waikato Region East","Oceanic Waikato Region East","001","Auckland Central","Auckland Central",5.58528012834943,5879543599.5551,9.49951307236172e-10
"330100","Woolston North","Woolston North","002","Banks Peninsula","Banks Peninsula",1295475.97974665,1295476.08107114,0.999999921785903
"324502","Halswell South West","Halswell South West","002","Banks Peninsula","Banks Peninsula",2769176.17198328,2769176.40905784,0.999999914388062
"330300","Cashmere West","Cashmere West","002","Banks Peninsula","Banks Peninsula",2381178.06280901,2381178.11565209,0.99999997780801
"330700","Bromley North","Bromley North","002","Banks Peninsula","Banks Peninsula",0.0606830966256872,6231909.48578887,9.73748042459021e-09
"326701","Hoon Hay West","Hoon Hay West","002","Banks Peninsula","Banks Peninsula",558078.912916281,1633310.18814191,0.341685808959023
