STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,CEN23_YEAR_001,Census year,CEN23_GEO_002,Area,CEN23_POM_009,Usual residence five years ago summary (RC),CEN23_ETH_002,Ethnicity,CEN23_AGE_004,Age,CEN23_GEN_002,Gender,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status
DATAFLOW,STATSNZ:CEN23_LOC_005(1.0),"Usual residence five years ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,316000,Kaiapoi West,999,Total - usual residence five years ago summary (RC),999,Total - ethnicity,2,15-29 years,99,Total - gender,222,,,
DATAFLOW,STATSNZ:CEN23_LOC_005(1.0),"Usual residence five years ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,136900,Eden Valley,1,Same as usual residence,999,Total - ethnicity,3,30-64 years,99,Total - gender,444,,,
DATAFLOW,STATSNZ:CEN23_LOC_005(1.0),"Usual residence five years ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,215600,Makaretu,999,Total - usual residence five years ago summary (RC),999,Total - ethnicity,3,30-64 years,99,Total - gender,1254,,,
DATAFLOW,STATSNZ:CEN23_LOC_005(1.0),"Usual residence five years ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,176202,Rototuna South East,999,Total - usual residence five years ago summary (RC),999,Total - ethnicity,3,30-64 years,99,Total - gender,1050,,,
DATAFLOW,STATSNZ:CEN23_LOC_005(1.0),"Usual residence five years ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,255700,Solway North,1,Same as usual residence,999,Total - ethnicity,2,15-29 years,99,Total - gender,132,,,
DATAFLOW,STATSNZ:CEN23_LOC_005(1.0),"Usual residence five years ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,242100,Totara Park,999,Total - usual residence five years ago summary (RC),999,Total - ethnicity,2,15-29 years,99,Total - gender,465,,,
DATAFLOW,STATSNZ:CEN23_LOC_005(1.0),"Usual residence five years ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,244400,Avalon West,999,Total - usual residence five years ago summary (RC),999,Total - ethnicity,2,15-29 years,99,Total - gender,411,,,
DATAFLOW,STATSNZ:CEN23_LOC_005(1.0),"Usual residence five years ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,315001,Southbrook,999,Total - usual residence five years ago summary (RC),999,Total - ethnicity,3,30-64 years,99,Total - gender,321,,,
DATAFLOW,STATSNZ:CEN23_LOC_005(1.0),"Usual residence five years ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,147800,Half Moon Bay West,999,Total - usual residence five years ago summary (RC),999,Total - ethnicity,2,15-29 years,99,Total - gender,459,,,
DATAFLOW,STATSNZ:CEN23_LOC_005(1.0),"Usual residence five years ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,300200,Oceanic Tasman Region,1,Same as usual residence,999,Total - ethnicity,2,15-29 years,99,Total - gender,,,c,Confidential
