"Age","Est. Eligible Population","General Roll","Māori Roll","Total Enrolled","Difference","% Enrolled","electorate_name"
"18 - 24",440692,216350,36808,253158,187534,57.45,"all"
"25 - 29",314115,231396,35808,267204,46911,85.07,"all"
"30 - 34",376018,274580,37188,311768,64250,82.91,"all"
"35 - 39",382530,305214,34323,339537,42993,88.76,"all"
"40 - 44",347012,288804,28055,316859,30153,91.31,"all"
"45 - 49",314435,269406,26656,296062,18373,94.16,"all"
"50 - 54",330393,277137,26062,303199,27194,91.77,"all"
"55 - 59",319200,287266,24596,311862,7338,97.7,"all"
"60 - 64",315701,281309,21534,302843,12858,95.93,"all"
"65 - 69",276671,261874,17248,279122,-2451,100.89,"all"
"70+",634873,631666,23244,654910,-20037,103.16,"all"
"Total",4051640,3325002,311522,3636524,415116,89.75,"all"
"18 - 24",8654,3696,284,3980,4674,45.99,"Auckland Central"
"25 - 29",5805,4381,275,4656,1149,80.21,"Auckland Central"
"30 - 34",7041,5152,275,5427,1614,77.08,"Auckland Central"
"35 - 39",6009,5035,216,5251,758,87.39,"Auckland Central"
"40 - 44",4853,4292,163,4455,398,91.8,"Auckland Central"
"45 - 49",4427,3841,194,4035,392,91.15,"Auckland Central"
"50 - 54",4863,4168,219,4387,476,90.21,"Auckland Central"
"55 - 59",4443,4269,191,4460,-17,100.38,"Auckland Central"
"60 - 64",4216,3896,152,4048,168,96.02,"Auckland Central"
"65 - 69",3344,3495,95,3590,-246,107.36,"Auckland Central"
"70+",6299,6520,139,6659,-360,105.72,"Auckland Central"
"Total",59954,48745,2203,50948,9006,84.98,"Auckland Central"
"18 - 24",5137,3712,261,3973,1164,77.34,"Banks Peninsula"
"25 - 29",4073,3611,249,3860,213,94.77,"Banks Peninsula"
"30 - 34",5297,4695,275,4970,327,93.83,"Banks Peninsula"
"35 - 39",6202,5625,258,5883,319,94.86,"Banks Peninsula"
"40 - 44",5611,5037,208,5245,366,93.48,"Banks Peninsula"
"45 - 49",5318,4897,164,5061,257,95.17,"Banks Peninsula"
"50 - 54",5779,5196,155,5351,428,92.59,"Banks Peninsula"
"55 - 59",5801,5595,162,5757,44,99.24,"Banks Peninsula"
"60 - 64",5718,5466,130,5596,122,97.87,"Banks Peninsula"
"65 - 69",5061,5139,110,5249,-188,103.71,"Banks Peninsula"
"70+",10960,11294,157,11451,-491,104.48,"Banks Peninsula"
"Total",64957,60267,2129,62396,2561,96.06,"Banks Peninsula"
"18 - 24",6253,3463,168,3631,2622,58.07,"Botany"
"25 - 29",3751,3371,141,3512,239,93.63,"Botany"
"30 - 34",4206,3743,122,3865,341,91.89,"Botany"
"35 - 39",4867,4363,123,4486,381,92.17,"Botany"
"40 - 44",6042,5357,85,5442,600,90.07,"Botany"
"45 - 49",5263,5064,94,5158,105,98,"Botany"
"50 - 54",5172,4787,96,4883,289,94.41,"Botany"
"55 - 59",4720,4800,88,4888,-168,103.56,"Botany"
"60 - 64",4373,4411,58,4469,-96,102.2,"Botany"
"65 - 69",3834,3842,66,3908,-74,101.93,"Botany"
"70+",8113,9074,58,9132,-1019,112.56,"Botany"
"Total",56594,52275,1099,53374,3220,94.31,"Botany"
"18 - 24",7130,3696,301,3997,3133,56.06,"Christchurch Central"
"25 - 29",7470,5360,391,5751,1719,76.99,"Christchurch Central"
"30 - 34",8322,5859,322,6181,2141,74.27,"Christchurch Central"
"35 - 39",6893,5555,234,5789,1104,83.98,"Christchurch Central"
"40 - 44",5148,4218,196,4414,734,85.74,"Christchurch Central"
"45 - 49",4537,3827,183,4010,527,88.38,"Christchurch Central"
"50 - 54",4660,3910,202,4112,548,88.24,"Christchurch Central"
"55 - 59",4351,3933,172,4105,246,94.35,"Christchurch Central"
"60 - 64",4062,3682,132,3814,248,93.89,"Christchurch Central"
"65 - 69",3337,3200,97,3297,40,98.8,"Christchurch Central"
"70+",8031,7966,133,8099,-68,100.85,"Christchurch Central"
"Total",63941,51206,2363,53569,10372,83.78,"Christchurch Central"
"18 - 24",6833,3553,543,4096,2737,59.94,"Christchurch East"
"25 - 29",5514,4112,485,4597,917,83.37,"Christchurch East"
"30 - 34",7039,5327,576,5903,1136,83.86,"Christchurch East"
"35 - 39",6845,5553,512,6065,780,88.6,"Christchurch East"
"40 - 44",5647,4656,414,5070,577,89.78,"Christchurch East"
"45 - 49",5314,4386,391,4777,537,89.89,"Christchurch East"
"50 - 54",5593,4748,338,5086,507,90.94,"Christchurch East"
"55 - 59",5236,4788,343,5131,105,97.99,"Christchurch East"
"60 - 64",4980,4536,258,4794,186,96.27,"Christchurch East"
"65 - 69",4360,4241,173,4414,-54,101.24,"Christchurch East"
"70+",8990,9045,235,9280,-290,103.23,"Christchurch East"
"Total",66351,54945,4268,59213,7138,89.24,"Christchurch East"
"18 - 24",4128,2014,476,2490,1638,60.32,"Coromandel"
"25 - 29",2840,2027,467,2494,346,87.82,"Coromandel"
"30 - 34",3916,2583,437,3020,896,77.12,"Coromandel"
"35 - 39",4128,2938,448,3386,742,82.03,"Coromandel"
"40 - 44",3969,2938,429,3367,602,84.83,"Coromandel"
"45 - 49",4005,3166,390,3556,449,88.79,"Coromandel"
"50 - 54",4931,3767,424,4191,740,84.99,"Coromandel"
"55 - 59",5581,4706,442,5148,433,92.24,"Coromandel"
"60 - 64",6670,5707,417,6124,546,91.81,"Coromandel"
"65 - 69",7035,6524,364,6888,147,97.91,"Coromandel"
"70+",18656,18518,506,19024,-368,101.97,"Coromandel"
"Total",65859,54888,4800,59688,6171,90.63,"Coromandel"
"18 - 24",17340,8177,557,8734,8606,50.37,"Dunedin"
"25 - 29",4628,4725,333,5058,-430,109.29,"Dunedin"
"30 - 34",4304,3736,229,3965,339,92.12,"Dunedin"
"35 - 39",4289,3910,199,4109,180,95.8,"Dunedin"
"40 - 44",4016,3715,178,3893,123,96.94,"Dunedin"
"45 - 49",3805,3521,155,3676,129,96.61,"Dunedin"
"50 - 54",4106,3708,143,3851,255,93.79,"Dunedin"
"55 - 59",4049,3915,127,4042,7,99.83,"Dunedin"
"60 - 64",4009,3755,106,3861,148,96.31,"Dunedin"
"65 - 69",3653,3592,81,3673,-20,100.55,"Dunedin"
"70+",7551,7791,105,7896,-345,104.57,"Dunedin"
"Total",61750,50545,2213,52758,8992,85.44,"Dunedin"
"18 - 24",8864,2460,2874,5334,3530,60.18,"East Cape"
"25 - 29",6037,2673,2625,5298,739,87.76,"East Cape"
"30 - 34",7202,3265,3013,6278,924,87.17,"East Cape"
"35 - 39",7229,3755,2664,6419,810,88.8,"East Cape"
"40 - 44",6390,3453,2364,5817,573,91.03,"East Cape"
"45 - 49",6324,3458,2321,5779,545,91.38,"East Cape"
"50 - 54",6808,3829,2344,6173,635,90.67,"East Cape"
"55 - 59",6854,4260,2152,6412,442,93.55,"East Cape"
"60 - 64",7372,4730,1997,6727,645,91.25,"East Cape"
"65 - 69",6929,5059,1859,6918,11,99.84,"East Cape"
"70+",14835,12397,2720,15117,-282,101.9,"East Cape"
"Total",84844,49339,26933,76272,8572,89.9,"East Cape"
"18 - 24",5753,3148,117,3265,2488,56.75,"East Coast Bays"
"25 - 29",4125,3466,153,3619,506,87.73,"East Coast Bays"
"30 - 34",4966,3884,108,3992,974,80.39,"East Coast Bays"
"35 - 39",5390,4666,95,4761,629,88.33,"East Coast Bays"
"40 - 44",6287,5652,64,5716,571,90.92,"East Coast Bays"
"45 - 49",5035,4779,83,4862,173,96.56,"East Coast Bays"
"50 - 54",4828,4377,76,4453,375,92.23,"East Coast Bays"
"55 - 59",4327,4233,58,4291,36,99.17,"East Coast Bays"
"60 - 64",4177,4018,52,4070,107,97.44,"East Coast Bays"
"65 - 69",3611,3430,36,3466,145,95.98,"East Coast Bays"
